threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,105,4,8,15,5,4,0,0,0,7,36
0.20,247,16,15,19,18,16,0,0,0,9,93
0.30,309,18,20,43,17,17,0,0,0,20,150
0.40,424,22,25,47,23,31,0,0,0,28,161
0.50,516,29,29,59,23,20,0,0,0,31,223
0.60,589,33,32,53,41,34,0,0,0,39,240
0.70,631,35,32,74,37,32,0,0,0,38,264
0.80,594,34,28,55,28,28,0,0,0,37,226
0.90,406,22,23,43,18,20,0,0,0,23,175
1.00,0,0,0,0,0,0,0,0,0,0,0
