threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,52,5,4,17,7,10,0,0,0,4,23
0.20,94,10,9,20,6,14,0,0,0,9,62
0.30,136,16,14,22,12,18,0,0,0,9,82
0.40,192,14,25,42,22,20,0,0,0,19,119
0.50,260,28,24,53,24,21,0,0,0,25,145
0.60,281,23,29,63,25,25,0,0,0,32,162
0.70,293,31,33,66,29,28,0,0,0,31,180
0.80,256,36,28,59,28,27,0,0,0,31,162
0.90,178,21,17,31,17,23,0,0,0,23,107
1.00,0,0,0,1,0,0,0,0,0,0,0
