threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,36,1,1,3,2,4,0,0,0,2,18
0.20,67,5,4,16,6,4,0,0,0,2,31
0.30,120,6,8,20,13,9,0,0,0,7,56
0.40,161,10,8,21,9,14,0,0,0,9,68
0.50,188,14,10,25,15,16,0,0,0,11,95
0.60,217,18,13,31,14,21,0,0,0,17,98
0.70,213,13,13,25,16,13,0,0,0,13,99
0.80,201,13,14,26,10,15,0,0,0,13,99
0.90,150,9,10,14,9,10,0,0,0,14,67
1.00,0,0,0,0,0,0,0,0,0,0,0
