threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,175,7,8,17,8,11,10,13,7,12,70
0.20,239,16,12,25,12,13,16,19,15,15,103
0.30,277,13,13,28,14,16,21,22,22,18,109
0.40,255,12,11,27,17,13,23,23,21,16,108
0.50,205,15,9,27,13,11,24,23,24,12,89
0.60,174,12,13,26,10,10,25,25,24,10,75
0.70,132,11,6,13,5,10,25,25,25,6,65
0.80,90,6,3,11,6,6,25,25,25,4,40
0.90,43,3,2,6,4,3,25,25,25,2,19
1.00,0,0,0,0,0,0,25,25,25,0,0
