threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,54,7,3,16,4,7,3,3,8,6,30
0.20,63,10,10,15,11,6,12,10,13,12,39
0.30,80,7,12,20,10,10,12,15,14,15,45
0.40,81,8,13,19,10,10,17,17,17,12,38
0.50,58,11,5,13,9,9,16,17,17,11,33
0.60,46,5,9,22,3,8,17,17,16,8,30
0.70,39,8,4,7,6,6,17,17,17,3,20
0.80,28,3,2,7,5,1,17,17,17,4,15
0.90,14,0,3,4,1,2,17,17,17,3,4
1.00,0,0,0,0,0,0,17,17,17,0,0
