threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,31,2,2,2,1,2,0,0,0,4,26
0.20,92,4,8,8,6,4,0,0,0,2,40
0.30,121,4,7,11,12,8,0,0,0,12,53
0.40,152,8,9,17,11,8,0,0,0,10,75
0.50,195,14,10,25,10,12,0,0,0,8,99
0.60,251,16,13,30,18,13,0,0,0,14,111
0.70,258,15,14,24,11,19,0,0,0,17,102
0.80,216,13,10,29,10,17,0,0,0,17,117
0.90,154,8,9,24,10,4,0,0,0,11,72
1.00,0,0,0,1,0,0,0,0,0,0,0
