threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,150,8,7,15,6,11,0,0,0,14,98
0.20,259,22,19,31,11,14,0,0,0,16,215
0.30,409,23,27,59,19,23,0,0,0,27,302
0.40,537,25,22,72,30,29,0,0,0,28,378
0.50,669,35,33,72,33,38,0,0,0,42,446
0.60,762,42,37,98,43,43,0,0,0,41,536
0.70,773,48,43,85,39,52,0,0,0,49,572
0.80,735,48,41,82,43,47,0,0,0,40,534
0.90,511,25,21,58,25,33,0,0,0,25,348
1.00,0,0,0,0,0,0,0,0,0,0,0
