threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,45,4,8,10,5,3,0,0,0,9,28
0.20,91,6,15,19,11,8,0,0,0,11,48
0.30,146,14,19,35,17,12,0,0,0,14,73
0.40,188,27,24,42,19,16,0,0,0,21,113
0.50,242,31,29,62,21,32,0,0,0,40,148
0.60,251,37,33,61,38,27,0,0,0,25,177
0.70,289,41,33,68,39,38,0,0,0,39,165
0.80,275,28,35,68,33,34,0,0,0,34,159
0.90,178,19,21,32,25,19,0,0,0,20,114
1.00,0,0,0,1,0,0,0,0,0,0,0
