threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,203,22,24,43,18,19,18,24,28,19,95
0.20,292,27,23,49,30,20,31,30,35,26,160
0.30,281,34,31,53,31,27,49,44,36,22,171
0.40,278,31,30,63,29,37,50,49,47,31,146
0.50,238,22,23,51,23,23,52,50,51,21,149
0.60,192,16,18,48,25,23,52,51,51,22,129
0.70,150,19,11,40,17,22,52,52,51,15,91
0.80,99,11,9,19,10,6,52,52,52,9,58
0.90,52,8,9,11,7,4,52,52,52,7,36
1.00,0,0,0,0,0,0,52,52,52,0,0
