threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,16,1,0,4,1,3,0,0,0,2,10
0.20,31,5,3,9,2,5,0,0,0,4,14
0.30,39,4,2,11,4,4,0,0,0,10,24
0.40,54,8,2,12,9,8,0,0,0,9,32
0.50,67,9,8,10,8,6,0,0,0,10,34
0.60,67,11,11,19,9,7,0,0,0,14,44
0.70,81,10,12,16,7,9,0,0,0,18,41
0.80,73,5,12,14,11,11,0,0,0,10,41
0.90,57,8,10,15,9,8,0,0,0,9,28
1.00,0,0,0,0,0,0,0,0,0,0,0
