threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,295,15,10,25,13,11,12,15,13,16,169
0.20,435,11,16,31,19,11,19,24,24,16,226
0.30,466,20,15,40,17,16,25,29,22,18,235
0.40,448,16,18,27,19,16,27,31,30,16,245
0.50,382,18,15,35,15,13,30,29,30,16,214
0.60,330,8,14,28,10,13,31,31,31,11,157
0.70,237,8,9,17,8,10,31,31,31,7,131
0.80,156,5,8,17,5,11,31,31,31,4,83
0.90,83,1,3,5,2,4,31,31,31,5,36
1.00,0,0,0,0,0,0,31,31,31,0,0
