threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,30,2,2,1,5,4,0,0,0,1,16
0.20,56,3,4,7,3,5,0,0,0,2,25
0.30,59,9,3,12,6,4,0,0,0,5,36
0.40,75,5,4,10,6,9,0,0,0,2,47
0.50,112,7,6,10,12,2,0,0,0,8,57
0.60,125,9,8,21,7,8,0,0,0,11,68
0.70,134,11,5,20,8,9,0,0,0,10,83
0.80,121,4,11,12,12,12,0,0,0,7,65
0.90,84,7,3,8,3,11,0,0,0,7,40
1.00,0,0,0,2,0,0,0,0,0,0,0
