threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,102,2,4,5,2,4,0,0,0,4,46
0.20,159,1,6,12,3,8,0,0,0,7,81
0.30,252,14,5,13,9,11,0,0,0,10,124
0.40,311,7,9,26,16,13,0,0,0,11,174
0.50,393,16,16,36,18,17,0,0,0,15,213
0.60,457,15,18,41,15,18,0,0,0,15,211
0.70,481,17,12,41,22,14,0,0,0,19,230
0.80,425,14,17,33,18,14,0,0,0,16,225
0.90,300,10,10,23,17,16,0,0,0,15,149
1.00,0,0,0,0,0,0,0,0,0,0,0
