threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,208,20,28,45,29,30,30,23,25,21,103
0.20,272,31,30,66,32,24,32,39,34,36,136
0.30,300,41,33,66,32,27,49,48,50,34,161
0.40,263,33,34,56,32,30,56,57,56,35,170
0.50,232,39,27,60,32,27,60,60,56,30,150
0.60,185,26,23,46,24,28,59,60,61,22,113
0.70,148,19,21,28,20,19,59,61,61,23,97
0.80,95,8,8,24,14,9,61,61,61,14,65
0.90,43,3,4,9,3,5,61,61,61,6,37
1.00,0,0,0,0,0,0,61,61,61,0,0
