threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,18,1,1,2,0,1,0,0,0,4,3
0.20,41,1,4,10,6,6,0,0,0,1,18
0.30,50,7,7,10,7,9,0,0,0,3,24
0.40,91,8,9,13,7,6,0,0,0,5,17
0.50,95,8,9,10,9,12,0,0,0,7,33
0.60,112,8,7,16,9,12,0,0,0,12,32
0.70,112,4,6,17,13,9,0,0,0,13,39
0.80,102,7,9,25,12,11,0,0,0,10,36
0.90,76,7,6,12,9,8,0,0,0,7,28
1.00,0,0,0,0,0,0,0,0,0,0,0
