threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,65,10,9,15,5,6,8,6,10,6,28
0.20,103,8,12,18,9,10,12,10,11,7,35
0.30,123,9,8,20,10,10,15,14,15,13,44
0.40,107,11,9,19,13,6,17,15,14,10,37
0.50,85,11,7,19,8,6,16,17,17,9,32
0.60,85,7,4,16,7,7,17,17,15,6,23
0.70,53,6,2,7,3,5,17,17,17,4,28
0.80,32,4,1,6,2,5,17,17,17,5,20
0.90,20,3,3,2,0,1,17,17,17,2,6
1.00,0,0,0,0,0,0,17,17,17,0,0
