threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,48,4,5,8,5,2,0,0,0,4,34
0.20,105,9,9,12,8,7,0,0,0,8,52
0.30,136,10,10,26,12,10,0,0,0,11,74
0.40,161,4,11,26,11,9,0,0,0,10,111
0.50,191,17,13,36,14,14,0,0,0,17,139
0.60,229,21,13,31,18,21,0,0,0,22,152
0.70,251,22,21,33,15,23,0,0,0,20,148
0.80,209,16,19,40,23,15,0,0,0,18,136
0.90,162,9,10,21,10,10,0,0,0,11,94
1.00,0,0,0,0,0,0,0,0,0,0,0
