threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,83,5,6,14,8,9,5,11,5,5,35
0.20,123,14,11,24,14,12,14,18,15,9,51
0.30,138,15,13,21,14,14,19,16,15,13,57
0.40,127,11,13,26,11,10,21,20,19,11,58
0.50,111,10,10,18,10,12,21,21,20,10,47
0.60,94,9,11,21,8,7,21,21,21,5,41
0.70,76,4,5,12,8,7,20,21,21,12,35
0.80,47,6,3,4,2,4,21,21,21,2,17
0.90,26,3,3,3,6,2,21,21,21,2,11
1.00,0,0,0,0,0,0,21,21,21,0,0
