threshold,MD,PD,STiD,ASW,CT,RC,UCIA,UCC,RAM,TVIMO,TRRMO
0.10,59,2,11,13,9,3,8,2,5,6,23
0.20,102,8,7,17,9,7,12,10,8,7,27
0.30,105,7,8,11,10,8,10,12,11,7,40
0.40,103,5,6,18,4,8,12,13,14,8,34
0.50,77,6,4,10,6,5,14,14,13,6,31
0.60,74,7,3,12,5,8,14,14,13,6,24
0.70,61,3,4,4,2,4,14,14,14,7,21
0.80,42,3,6,7,0,3,14,14,14,2,9
0.90,16,1,1,4,3,1,14,14,14,3,11
1.00,0,0,0,0,0,0,14,14,14,0,0
